Word,Pronunciation,Tag,PlaceOfArticulation
him,HH-IH1-M,C-V1-C,pharyngeal-tongue-bilabial
pills,P-IH1-L-Z,C-V1-C-C,bilabial-tongue-lateral-alveolar
noon,N-UW1-N,C-V1-C,alveolar-tongue-alveolar
felt,F-EH1-L-T,C-V1-C-C,labiodental-tongue-lateral-alveolar
last,L-AE1-S-T,C-V1-C-C,lateral-tongue-alveolar-alveolar
store's,S-T-AO1-R-Z,C-C-VV1-C-C,alveolar-alveolar-tongue-alveolar-alveolar
acid,AE1-S-AH0-D,V1-C-V0-C,tongue-alveolar-tongue-alveolar
cloth,K-L-AO1-TH,C-C-VV1-C,velar-lateral-tongue-interdental
fairy,F-EH1-R-IY0,C-V1-C-V0,labiodental-tongue-alveolar-tongue
fun,F-AH1-N,C-V1-C,labiodental-tongue-alveolar
should,SH-UH1-D,C-V1-C,palatoalveolar-tongue-alveolar
suffer,S-AH1-F-ER0,C-V1-C-V0,alveolar-tongue-labiodental-tongue
put,P-UH1-T,C-V1-C,bilabial-tongue-alveolar
love,L-AH1-V,C-V1-C,lateral-tongue-labiodental
good,G-UH1-D,C-V1-C,velar-tongue-alveolar
flood,F-L-AH1-D,C-C-V1-C,labiodental-lateral-tongue-alveolar
inches,IH1-N-CH-AH0-Z,V1-C-C-V0-C,tongue-alveolar-palatoalveolar-tongue-alveolar
carved,K-AA1-R-V-D,C-V1-C-C-C,velar-tongue-alveolar-labiodental-alveolar
head,HH-EH1-D,C-V1-C,pharyngeal-tongue-alveolar
block,B-L-AA1-K,C-C-V1-C,bilabial-lateral-tongue-velar
has,HH-AE1-Z,C-V1-C,pharyngeal-tongue-alveolar
smart,S-M-AA1-R-T,C-C-V1-C-C,alveolar-bilabial-tongue-alveolar-alveolar
fig,F-IH1-G,C-V1-C,labiodental-tongue-velar
apple,AE1-P-AH0-L,V1-C-V0-C,tongue-bilabial-tongue-lateral
started,S-T-AA1-R-T-IH0-D,C-C-V1-C-C-V0-C,alveolar-alveolar-tongue-alveolar-alveolar-tongue-alveolar
box,B-AA1-K-S,C-V1-C-C,bilabial-tongue-velar-alveolar
thumb,TH-AH1-M,C-V1-C,interdental-tongue-bilabial
tacks,T-AE1-K-S,C-V1-C-C,alveolar-tongue-velar-alveolar
tongs,T-AA1-NG-Z,C-V1-C-C,alveolar-tongue-velar-alveolar
puff,P-AH1-F,C-V1-C,bilabial-tongue-labiodental
petals,P-EH1-T-AH0-L-Z,C-V1-C-V0-C-C,bilabial-tongue-alveolar-tongue-lateral-alveolar
class,K-L-AE1-S,C-C-V1-C,velar-lateral-tongue-alveolar
could,K-UH1-D,C-V1-C,velar-tongue-alveolar
laugh,L-AE1-F,C-V1-C,lateral-tongue-labiodental
farmers,F-AA1-R-M-ER0-Z,C-V1-C-C-V0-C,labiodental-tongue-alveolar-bilabial-tongue-alveolar
attic,AE1-T-IH0-K,V1-C-V0-C,tongue-alveolar-tongue-velar
bath,B-AE1-TH,C-V1-C,bilabial-tongue-interdental
such,S-AH1-CH,C-V1-C,alveolar-tongue-palatoalveolar
fifth,F-IH1-F-TH,C-V1-C-C,labiodental-tongue-labiodental-interdental
club,K-L-AH1-B,C-C-V1-C,velar-lateral-tongue-bilabial
dance,D-AE1-N-S,C-V1-C-C,alveolar-tongue-alveolar-alveolar
taught,T-AO1-T,C-VV1-C,alveolar-tongue-alveolar
novel,N-AA1-V-AH0-L,C-V1-C-V0-C,alveolar-tongue-labiodental-tongue-lateral
inn,IH1-N,V1-C,tongue-alveolar
even,IY1-V-IH0-N,V1-C-V0-C,tongue-labiodental-tongue-alveolar
cement,S-AH0-M-EH1-N-T,C-V0-C-V1-C-C,alveolar-tongue-bilabial-tongue-alveolar-alveolar
loss,L-AO1-S,C-VV1-C,lateral-tongue-alveolar
ship,SH-IH1-P,C-V1-C,palatoalveolar-tongue-bilabial
second,S-EH1-K-AH0-N-D,C-V1-C-V0-C-C,alveolar-tongue-velar-tongue-alveolar-alveolar
do,D-UW1,C-V1,alveolar-tongue
stick,S-T-IH1-K,C-C-V1-C,alveolar-alveolar-tongue-velar
covered,K-AH1-V-ER0-D,C-V1-C-V0-C,velar-tongue-labiodental-tongue-alveolar
had,HH-AE1-D,C-V1-C,pharyngeal-tongue-alveolar
taps,T-AE1-P-S,C-V1-C-C,alveolar-tongue-bilabial-alveolar
forget,F-ER0-G-EH1-T,C-V0-C-V1-C,labiodental-tongue-velar-tongue-alveolar
or,AO1-R,VV1-C,tongue-alveolar
clean,K-L-IY1-N,C-C-V1-C,velar-lateral-tongue-alveolar
bank,B-AE1-NG-K,C-V1-C-C,bilabial-tongue-velar-velar
black,B-L-AE1-K,C-C-V1-C,bilabial-lateral-tongue-velar
lead,L-EH1-D,C-V1-C,lateral-tongue-alveolar
calf,K-AE1-F,C-V1-C,velar-tongue-labiodental
bucket,B-AH1-K-AH0-T,C-V1-C-V0-C,bilabial-tongue-velar-tongue-alveolar
charm,CH-AA1-R-M,C-V1-C-C,palatoalveolar-tongue-alveolar-bilabial
teach,T-IY1-CH,C-V1-C,alveolar-tongue-palatoalveolar
lamp,L-AE1-M-P,C-V1-C-C,lateral-tongue-bilabial-bilabial
axe,AE1-K-S,V1-C-C,tongue-velar-alveolar
forest,F-AO1-R-AH0-S-T,C-VV1-C-V0-C-C,labiodental-tongue-alveolar-tongue-alveolar-alveolar
jazz,JH-AE1-Z,C-V1-C,palatoalveolar-tongue-alveolar
fans,F-AE1-N-Z,C-V1-C-C,labiodental-tongue-alveolar-alveolar
slash,S-L-AE1-SH,C-C-V1-C,alveolar-lateral-tongue-palatoalveolar
have,HH-AE1-V,C-V1-C,pharyngeal-tongue-labiodental
court,K-AO1-R-T,C-VV1-C-C,velar-tongue-alveolar-alveolar
pushed,P-UH1-SH-T,C-V1-C-C,bilabial-tongue-palatoalveolar-alveolar
attack,AH0-T-AE1-K,V0-C-V1-C,tongue-alveolar-tongue-velar
former,F-AO1-R-M-ER0,C-VV1-C-C-V0,labiodental-tongue-alveolar-bilabial-tongue
backs,B-AE1-K-S,C-V1-C-C,bilabial-tongue-velar-alveolar
map,M-AE1-P,C-V1-C,bilabial-tongue-bilabial
meant,M-EH1-N-T,C-V1-C-C,bilabial-tongue-alveolar-alveolar
nothing,N-AH1-TH-IH0-NG,C-V1-C-V0-C,alveolar-tongue-interdental-tongue-velar
nets,N-EH1-T-S,C-V1-C-C,alveolar-tongue-alveolar-alveolar
some,S-AH1-M,C-V1-C,alveolar-tongue-bilabial
ads,AE1-D-Z,V1-C-C,tongue-alveolar-alveolar
bell,B-EH1-L,C-V1-C,bilabial-tongue-lateral
balance,B-AE1-L-AH0-N-S,C-V1-C-V0-C-C,bilabial-tongue-lateral-tongue-alveolar-alveolar
madam,M-AE1-D-AH0-M,C-V1-C-V0-C,bilabial-tongue-alveolar-tongue-bilabial
soon,S-UW1-N,C-V1-C,alveolar-tongue-alveolar
sat,S-AE1-T,C-V1-C,alveolar-tongue-alveolar
as,AE1-Z,V1-C,tongue-alveolar
fury,F-Y-UH1-R-IY0,C-C-V1-C-V0,labiodental-velar-tongue-alveolar-tongue
egg,EH1-G,V1-C,tongue-velar
funds,F-AH1-N-D-Z,C-V1-C-C-C,labiodental-tongue-alveolar-alveolar-alveolar
peak,P-IY1-K,C-V1-C,bilabial-tongue-velar
tuesday,T-UW1-Z-D-IY0,C-V1-C-C-V0,alveolar-tongue-alveolar-alveolar-tongue
stark,S-T-AA1-R-K,C-C-V1-C-C,alveolar-alveolar-tongue-alveolar-velar
looked,L-UH1-K-T,C-V1-C-C,lateral-tongue-velar-alveolar
gets,G-EH1-T-S,C-V1-C-C,velar-tongue-alveolar-alveolar
snapped,S-N-AE1-P-T,C-C-V1-C-C,alveolar-alveolar-tongue-bilabial-alveolar
jump,JH-AH1-M-P,C-V1-C-C,palatoalveolar-tongue-bilabial-bilabial
yell,Y-EH1-L,C-V1-C,velar-tongue-lateral
clap,K-L-AE1-P,C-C-V1-C,velar-lateral-tongue-bilabial
form,F-AO1-R-M,C-VV1-C-C,labiodental-tongue-alveolar-bilabial
need,N-IY1-D,C-V1-C,alveolar-tongue-alveolar
north,N-AO1-R-TH,C-VV1-C-C,alveolar-tongue-alveolar-interdental
ducks,D-AH1-K-S,C-V1-C-C,alveolar-tongue-velar-alveolar
compass,K-AH1-M-P-AH0-S,C-V1-C-C-V0-C,velar-tongue-bilabial-bilabial-tongue-alveolar
fizz,F-IH1-Z,C-V1-C,labiodental-tongue-alveolar
others,AH1-DH-ER0-Z,V1-C-V0-C,tongue-interdental-tongue-alveolar
pears,P-EH1-R-Z,C-V1-C-C,bilabial-tongue-alveolar-alveolar
pot,P-AA1-T,C-V1-C,bilabial-tongue-alveolar
carry,K-AE1-R-IY0,C-V1-C-V0,velar-tongue-alveolar-tongue
our,AW1-ER0,VV1-V0,tongue-tongue
sure,SH-UH1-R,C-V1-C,palatoalveolar-tongue-alveolar
enough,IH0-N-AH1-F,V0-C-V1-C,tongue-alveolar-tongue-labiodental
seats,S-IY1-T-S,C-V1-C-C,alveolar-tongue-alveolar-alveolar
football,F-UH1-T-B-AO2-L,C-V1-C-C-VV2-C,labiodental-tongue-alveolar-bilabial-tongue-lateral
jug,JH-AH1-G,C-V1-C,palatoalveolar-tongue-velar
dash,D-AE1-SH,C-V1-C,alveolar-tongue-palatoalveolar
pepper,P-EH1-P-ER0,C-V1-C-V0,bilabial-tongue-bilabial-tongue
beef,B-IY1-F,C-V1-C,bilabial-tongue-labiodental
stew,S-T-UW1,C-C-V1,alveolar-alveolar-tongue
zestful,Z-EH1-S-T-F-AH0-L,C-V1-C-C-C-V0-C,alveolar-tongue-alveolar-alveolar-labiodental-tongue-lateral
food,F-UW1-D,C-V1-C,labiodental-tongue-alveolar
bun,B-AH1-N,C-V1-C,bilabial-tongue-alveolar
horse,HH-AO1-R-S,C-VV1-C-C,pharyngeal-tongue-alveolar-alveolar
necklace,N-EH1-K-L-AH0-S,C-V1-C-C-V0-C,alveolar-tongue-velar-lateral-tongue-alveolar
cord,K-AO1-R-D,C-VV1-C-C,velar-tongue-alveolar-alveolar
look,L-UH1-K,C-V1-C,lateral-tongue-velar
corner,K-AO1-R-N-ER0,C-VV1-C-C-V0,velar-tongue-alveolar-alveolar-tongue
bond,B-AA1-N-D,C-V1-C-C,bilabial-tongue-alveolar-alveolar
halt,HH-AO1-L-T,C-VV1-C-C,pharyngeal-tongue-lateral-alveolar
dig,D-IH1-G,C-V1-C,alveolar-tongue-velar
junk,JH-AH1-NG-K,C-V1-C-C,palatoalveolar-tongue-velar-velar
yard,Y-AA1-R-D,C-V1-C-C,velar-tongue-alveolar-alveolar
sputtered,S-P-AH1-T-ER0-D,C-C-V1-C-V0-C,alveolar-bilabial-tongue-alveolar-tongue-alveolar
torch,T-AO1-R-CH,C-VV1-C-C,alveolar-tongue-alveolar-palatoalveolar
lit,L-IH1-T,C-V1-C,lateral-tongue-alveolar
flint,F-L-IH1-N-T,C-C-V1-C-C,labiodental-lateral-tongue-alveolar-alveolar
bare,B-EH1-R,C-V1-C,bilabial-tongue-alveolar
jam,JH-AE1-M,C-V1-C,palatoalveolar-tongue-bilabial
dust,D-AH1-S-T,C-V1-C-C,alveolar-tongue-alveolar-alveolar
stung,S-T-AH1-NG,C-C-V1-C,alveolar-alveolar-tongue-velar
tender,T-EH1-N-D-ER0,C-V1-C-C-V0,alveolar-tongue-alveolar-alveolar-tongue
end,EH1-N-D,V1-C-C,tongue-alveolar-alveolar
needs,N-IY1-D-Z,C-V1-C-C,alveolar-tongue-alveolar-alveolar
much,M-AH1-CH,C-V1-C,bilabial-tongue-palatoalveolar
gently,JH-EH1-N-T-L-IY0,C-V1-C-C-C-V0,palatoalveolar-tongue-alveolar-alveolar-lateral-tongue
flaw,F-L-AO1,C-C-VV1,labiodental-lateral-tongue
bump,B-AH1-M-P,C-V1-C-C,bilabial-tongue-bilabial-bilabial
apples,AE1-P-AH0-L-Z,V1-C-V0-C-C,tongue-bilabial-tongue-lateral-alveolar
hands,HH-AE1-N-D-Z,C-V1-C-C-C,pharyngeal-tongue-alveolar-alveolar-alveolar
hedge,HH-EH1-JH,C-V1-C,pharyngeal-tongue-palatoalveolar
eat,IY1-T,V1-C,tongue-alveolar
then,DH-EH1-N,C-V1-C,interdental-tongue-alveolar
mute,M-Y-UW1-T,C-C-V1-C,bilabial-velar-tongue-alveolar
muffled,M-AH1-F-AH0-L-D,C-V1-C-V0-C-C,bilabial-tongue-labiodental-tongue-lateral-alveolar
pierced,P-IH1-R-S-T,C-V1-C-C-C,bilabial-tongue-alveolar-alveolar-alveolar
ear,IY1-R,V1-C,tongue-alveolar
fits,F-IH1-T-S,C-V1-C-C,labiodental-tongue-alveolar-alveolar
pan,P-AE1-N,C-V1-C,bilabial-tongue-alveolar
if,IH1-F,V1-C,tongue-labiodental
finish,F-IH1-N-IH0-SH,C-V1-C-V0-C,labiodental-tongue-alveolar-tongue-palatoalveolar
gone,G-AO1-N,C-VV1-C,velar-tongue-alveolar
beer,B-IH1-R,C-V1-C,bilabial-tongue-alveolar
hops,HH-AA1-P-S,C-V1-C-C,pharyngeal-tongue-bilabial-alveolar
malt,M-AO1-L-T,C-VV1-C-C,bilabial-tongue-lateral-alveolar
cans,K-AE1-N-Z,C-V1-C-C,velar-tongue-alveolar-alveolar
absent,AE1-B-S-AH0-N-T,V1-C-C-V0-C-C,tongue-bilabial-alveolar-tongue-alveolar-alveolar
shelves,SH-EH1-L-V-Z,C-V1-C-C-C,palatoalveolar-tongue-lateral-labiodental-alveolar
beam,B-IY1-M,C-V1-C,bilabial-tongue-bilabial
danced,D-AE1-N-S-T,C-V1-C-C-C,alveolar-tongue-alveolar-alveolar-alveolar
flat,F-L-AE1-T,C-C-V1-C,labiodental-lateral-tongue-alveolar
tube,T-UW1-B,C-V1-C,alveolar-tongue-bilabial
let's,L-EH1-T-S,C-V1-C-C,lateral-tongue-alveolar-alveolar
sing,S-IH1-NG,C-V1-C,alveolar-tongue-velar
chorus,K-AO1-R-AH0-S,C-VV1-C-V0-C,velar-tongue-alveolar-tongue-alveolar
cannot,K-AE1-N-AA0-T,C-V1-C-V0-C,velar-tongue-alveolar-tongue-alveolar
minutes,M-IH1-N-AH0-T-S,C-V1-C-V0-C-C,bilabial-tongue-alveolar-tongue-alveolar-alveolar
six,S-IH1-K-S,C-V1-C-C,alveolar-tongue-velar-alveolar
peace,P-IY1-S,C-V1-C,bilabial-tongue-alveolar
league,L-IY1-G,C-V1-C,lateral-tongue-velar
discuss,D-IH0-S-K-AH1-S,C-V0-C-C-V1-C,alveolar-tongue-alveolar-velar-tongue-alveolar
plans,P-L-AE1-N-Z,C-C-V1-C-C,bilabial-lateral-tongue-alveolar-alveolar
luck,L-AH1-K,C-V1-C,lateral-tongue-velar
fox,F-AA1-K-S,C-V1-C-C,labiodental-tongue-velar-alveolar
nozzle,N-AA1-Z-AH0-L,C-V1-C-V0-C,alveolar-tongue-alveolar-tongue-lateral
cap,K-AE1-P,C-V1-C,velar-tongue-bilabial
needed,N-IY1-D-AH0-D,C-V1-C-V0-C,alveolar-tongue-alveolar-tongue-alveolar
plan,P-L-AE1-N,C-C-V1-C,bilabial-lateral-tongue-alveolar
think,TH-IH1-NG-K,C-V1-C-C,interdental-tongue-velar-velar
sometimes,S-AH0-M-T-AY1-M-Z,C-V0-C-C-VV1-C-C,alveolar-tongue-bilabial-alveolar-tongue-bilabial-alveolar
jar,JH-AA1-R,C-V1-C,palatoalveolar-tongue-alveolar
keep,K-IY1-P,C-V1-C,velar-tongue-bilabial
mules,M-Y-UW1-L-Z,C-C-V1-C-C,bilabial-velar-tongue-lateral-alveolar
neat,N-IY1-T,C-V1-C,alveolar-tongue-alveolar
sun's,S-AH1-N-Z,C-V1-C-C,alveolar-tongue-alveolar-alveolar
unless,AH0-N-L-EH1-S,V0-C-C-V1-C,tongue-alveolar-lateral-tongue-alveolar
plush,P-L-AH1-SH,C-C-V1-C,bilabial-lateral-tongue-palatoalveolar
chair,CH-EH1-R,C-V1-C,palatoalveolar-tongue-alveolar
leaned,L-IY1-N-D,C-V1-C-C,lateral-tongue-alveolar-alveolar
against,AH0-G-EH1-N-S-T,V0-C-V1-C-C-C,tongue-velar-tongue-alveolar-alveolar-alveolar
metal,M-EH1-T-AH0-L,C-V1-C-V0-C,bilabial-tongue-alveolar-tongue-lateral
relax,R-IH0-L-AE1-K-S,C-V0-C-V1-C-C,alveolar-tongue-lateral-tongue-velar-alveolar
beach,B-IY1-CH,C-V1-C,bilabial-tongue-palatoalveolar
shallow,SH-AE1-L-OW0,C-V1-C-VV0,palatoalveolar-tongue-lateral-tongue
idea,AY0-D-IY1-AH0,VV0-C-V1-V0,tongue-alveolar-tongue-tongue
kitten,K-IH1-T-AH0-N,C-V1-C-V0-C,velar-tongue-alveolar-tongue-alveolar
book,B-UH1-K,C-V1-C,bilabial-tongue-velar
central,S-EH1-N-T-R-AH0-L,C-V1-C-C-C-V0-C,alveolar-tongue-alveolar-alveolar-alveolar-tongue-lateral
gem,JH-EH1-M,C-V1-C,palatoalveolar-tongue-bilabial
polish,P-AA1-L-IH0-SH,C-V1-C-V0-C,bilabial-tongue-lateral-tongue-palatoalveolar
secrets,S-IY1-K-R-AH0-T-S,C-V1-C-C-V0-C-C,alveolar-tongue-velar-alveolar-tongue-alveolar-alveolar
sent,S-EH1-N-T,C-V1-C-C,alveolar-tongue-alveolar-alveolar
news,N-UW1-Z,C-V1-C,alveolar-tongue-alveolar
objects,AA1-B-JH-EH0-K-T-S,V1-C-C-V0-C-C-C,tongue-bilabial-palatoalveolar-tongue-velar-alveolar-alveolar
mince,M-IH1-N-S,C-V1-C-C,bilabial-tongue-alveolar-alveolar
gathered,G-AE1-DH-ER0-D,C-V1-C-V0-C,velar-tongue-interdental-tongue-alveolar
let,L-EH1-T,C-V1-C,lateral-tongue-alveolar
castle,K-AE1-S-AH0-L,C-V1-C-V0-C,velar-tongue-alveolar-tongue-lateral
tack,T-AE1-K,C-V1-C,alveolar-tongue-velar
must,M-AH1-S-T,C-V1-C-C,bilabial-tongue-alveolar-alveolar
pour,P-AO1-R,C-VV1-C,bilabial-tongue-alveolar
gather,G-AE1-DH-ER0,C-V1-C-V0,velar-tongue-interdental-tongue
sticks,S-T-IH1-K-S,C-C-V1-C-C,alveolar-alveolar-tongue-velar-alveolar
tumbled,T-AH1-M-B-AH0-L-D,C-V1-C-C-V0-C-C,alveolar-tongue-bilabial-bilabial-tongue-lateral-alveolar
plum,P-L-AH1-M,C-C-V1-C,bilabial-lateral-tongue-bilabial
fit,F-IH1-T,C-V1-C,labiodental-tongue-alveolar
king's,K-IH1-NG-Z,C-V1-C-C,velar-tongue-velar-alveolar
palate,P-AE1-L-AH0-T,C-V1-C-V0-C,bilabial-tongue-lateral-tongue-alveolar
capture,K-AE1-P-CH-ER0,C-V1-C-C-V0,velar-tongue-bilabial-palatoalveolar-tongue
bear,B-EH1-R,C-V1-C,bilabial-tongue-alveolar
feed,F-IY1-D,C-V1-C,labiodental-tongue-alveolar
seeds,S-IY1-D-Z,C-V1-C-C,alveolar-tongue-alveolar-alveolar
distance,D-IH1-S-T-AH0-N-S,C-V1-C-C-V0-C-C,alveolar-tongue-alveolar-alveolar-tongue-alveolar-alveolar
lock,L-AA1-K,C-V1-C,lateral-tongue-velar
plead,P-L-IY1-D,C-C-V1-C,bilabial-lateral-tongue-alveolar
thief,TH-IY1-F,C-V1-C,interdental-tongue-labiodental
hash,HH-AE1-SH,C-V1-C,pharyngeal-tongue-palatoalveolar
better,B-EH1-T-ER0,C-V1-C-V0,bilabial-tongue-alveolar-tongue
plank,P-L-AE1-NG-K,C-C-V1-C-C,bilabial-lateral-tongue-velar-velar
sparkled,S-P-AA1-R-K-AH0-L-D,C-C-V1-C-C-V0-C-C,alveolar-bilabial-tongue-alveolar-velar-tongue-lateral-alveolar
care,K-EH1-R,C-V1-C,velar-tongue-alveolar
ledge,L-EH1-JH,C-V1-C,lateral-tongue-palatoalveolar
sheep,SH-IY1-P,C-V1-C,palatoalveolar-tongue-bilabial
lot,L-AA1-T,C-V1-C,lateral-tongue-alveolar
shares,SH-EH1-R-Z,C-V1-C-C,palatoalveolar-tongue-alveolar-alveolar
fair,F-EH1-R,C-V1-C,labiodental-tongue-alveolar
many,M-EH1-N-IY0,C-V1-C-V0,bilabial-tongue-alveolar-tongue
fevers,F-IY1-V-ER0-Z,C-V1-C-V0-C,labiodental-tongue-labiodental-tongue-alveolar
asks,AE1-S-K-S,V1-C-C-C,tongue-alveolar-velar-alveolar
come,K-AH1-M,C-V1-C,velar-tongue-bilabial
sash,S-AE1-SH,C-V1-C,alveolar-tongue-palatoalveolar
means,M-IY1-N-Z,C-V1-C-C,bilabial-tongue-alveolar-alveolar
long,L-AO1-NG,C-VV1-C,lateral-tongue-velar
list,L-IH1-S-T,C-V1-C-C,lateral-tongue-alveolar-alveolar
defense,D-IH0-F-EH1-N-S,C-V0-C-V1-C-C,alveolar-tongue-labiodental-tongue-alveolar-alveolar
siege,S-IY1-JH,C-V1-C,alveolar-tongue-palatoalveolar
tar,T-AA1-R,C-V1-C,alveolar-tongue-alveolar
cost,K-AA1-S-T,C-V1-C-C,velar-tongue-alveolar-alveolar
poured,P-AO1-R-D,C-VV1-C-C,bilabial-tongue-alveolar-alveolar
heroes,HH-IH1-R-OW0-Z,C-V1-C-VV0-C,pharyngeal-tongue-alveolar-tongue-alveolar
story,S-T-AO1-R-IY0,C-C-VV1-C-V0,alveolar-alveolar-tongue-alveolar-tongue
sense,S-EH1-N-S,C-V1-C-C,alveolar-tongue-alveolar-alveolar
eastern,IY1-S-T-ER0-N,V1-C-C-V0-C,tongue-alveolar-alveolar-tongue-alveolar
heave,HH-IY1-V,C-V1-C,pharyngeal-tongue-labiodental
cuts,K-AH1-T-S,C-V1-C-C,velar-tongue-alveolar-alveolar
any,EH1-N-IY0,V1-C-V0,tongue-alveolar-tongue
dense,D-EH1-N-S,C-V1-C-C,alveolar-tongue-alveolar-alveolar
distinct,D-IH0-S-T-IH1-NG-K-T,C-V0-C-C-V1-C-C-C,alveolar-tongue-alveolar-alveolar-tongue-velar-velar-alveolar
hip,HH-IH1-P,C-V1-C,pharyngeal-tongue-bilabial
knee,N-IY1,C-V1,alveolar-tongue
smell,S-M-EH1-L,C-C-V1-C,alveolar-bilabial-tongue-lateral
scarcer,S-K-EH1-R-S-ER0,C-C-V1-C-C-V0,alveolar-velar-tongue-alveolar-alveolar-tongue
lamb,L-AE1-M,C-V1-C,lateral-tongue-bilabial
steer,S-T-IH1-R,C-C-V1-C,alveolar-alveolar-tongue-alveolar
northward,N-AO1-R-TH-W-ER0-D,C-VV1-C-C-C-V0-C,alveolar-tongue-alveolar-interdental-labiovelar-tongue-alveolar
cents,S-EH1-N-T-S,C-V1-C-C-C,alveolar-tongue-alveolar-alveolar-alveolar
mondays,M-AH1-N-D-IY0-Z,C-V1-C-C-V0-C,bilabial-tongue-alveolar-alveolar-tongue-alveolar
pod,P-AA1-D,C-V1-C,bilabial-tongue-alveolar
peas,P-IY1-Z,C-V1-C,bilabial-tongue-alveolar
dart,D-AA1-R-T,C-V1-C-C,alveolar-tongue-alveolar-alveolar
cork,K-AO1-R-K,C-VV1-C-C,velar-tongue-alveolar-velar
target,T-AA1-R-G-AH0-T,C-V1-C-C-V0-C,alveolar-tongue-alveolar-velar-tongue-alveolar
shipping,SH-IH1-P-IH0-NG,C-V1-C-V0-C,palatoalveolar-tongue-bilabial-tongue-velar
led,L-EH1-D,C-V1-C,lateral-tongue-alveolar
hardship,HH-AA1-R-D-SH-IH0-P,C-V1-C-C-C-V0-C,pharyngeal-tongue-alveolar-alveolar-palatoalveolar-tongue-bilabial
seemed,S-IY1-M-D,C-V1-C-C,alveolar-tongue-bilabial-alveolar
nudge,N-AH1-JH,C-V1-C,alveolar-tongue-palatoalveolar
fasten,F-AE1-S-AH0-N,C-V1-C-V0-C,labiodental-tongue-alveolar-tongue-alveolar
zest,Z-EH1-S-T,C-V1-C-C,alveolar-tongue-alveolar-alveolar
restores,R-IH0-S-T-AO1-R-Z,C-V0-C-C-VV1-C-C,alveolar-tongue-alveolar-alveolar-tongue-alveolar-alveolar
office,AO1-F-IH0-S,VV1-C-V0-C,tongue-labiodental-tongue-alveolar
pen,P-EH1-N,C-V1-C,bilabial-tongue-alveolar
lag,L-AE1-G,C-V1-C,lateral-tongue-velar
thought,TH-AO1-T,C-VV1-C,interdental-tongue-alveolar
seed,S-IY1-D,C-V1-C,alveolar-tongue-alveolar
plant,P-L-AE1-N-T,C-C-V1-C-C,bilabial-lateral-tongue-alveolar-alveolar
chart,CH-AA1-R-T,C-V1-C-C,palatoalveolar-tongue-alveolar-alveolar
heavy,HH-EH1-V-IY0,C-V1-C-V0,pharyngeal-tongue-labiodental-tongue
chap,CH-AE1-P,C-V1-C,palatoalveolar-tongue-bilabial
hats,HH-AE1-T-S,C-V1-C-C,pharyngeal-tongue-alveolar-alveolar
dinner,D-IH1-N-ER0,C-V1-C-V0,alveolar-tongue-alveolar-tongue
onto,AA1-N-T-UW0,V1-C-C-V0,tongue-alveolar-alveolar-tongue
lawn,L-AO1-N,C-VV1-C,lateral-tongue-alveolar
nest,N-EH1-S-T,C-V1-C-C,alveolar-tongue-alveolar-alveolar
mats,M-AE1-T-S,C-V1-C-C,bilabial-tongue-alveolar-alveolar
protects,P-R-AH0-T-EH1-K-T-S,C-C-V0-C-V1-C-C-C,bilabial-alveolar-tongue-alveolar-tongue-velar-alveolar-alveolar
picked,P-IH1-K-T,C-V1-C-C,bilabial-tongue-velar-alveolar
debt,D-EH1-T,C-V1-C,alveolar-tongue-alveolar
nag,N-AE1-G,C-V1-C,alveolar-tongue-velar
cart,K-AA1-R-T,C-V1-C-C,velar-tongue-alveolar-alveolar
release,R-IY0-L-IY1-S,C-V0-C-V1-C,alveolar-tongue-lateral-tongue-alveolar
vamp,V-AE1-M-P,C-V1-C-C,labiodental-tongue-bilabial-bilabial
shoe,SH-UW1,C-V1,palatoalveolar-tongue
itches,IH1-CH-AH0-Z,V1-C-V0-C,tongue-palatoalveolar-tongue-alveolar
cuffs,K-AH1-F-S,C-V1-C-C,velar-tongue-labiodental-alveolar
pockets,P-AA1-K-AH0-T-S,C-V1-C-V0-C-C,bilabial-tongue-velar-tongue-alveolar-alveolar
marsh,M-AA1-R-SH,C-V1-C-C,bilabial-tongue-alveolar-palatoalveolar
lasts,L-AE1-S-T-S,C-V1-C-C-C,lateral-tongue-alveolar-alveolar-alveolar
bloom,B-L-UW1-M,C-C-V1-C,bilabial-lateral-tongue-bilabial
mare,M-EH1-R,C-V1-C,bilabial-tongue-alveolar
buns,B-AH1-N-Z,C-V1-C-C,bilabial-tongue-alveolar-alveolar
bottles,B-AA1-T-AH0-L-Z,C-V1-C-V0-C-C,bilabial-tongue-alveolar-tongue-lateral-alveolar
feather,F-EH1-DH-ER0,C-V1-C-V0,labiodental-tongue-interdental-tongue
ashes,AE1-SH-AH0-Z,V1-C-V0-C,tongue-palatoalveolar-tongue-alveolar
chairs,CH-EH1-R-Z,C-V1-C-C,palatoalveolar-tongue-alveolar-alveolar
collar,K-AA1-L-ER0,C-V1-C-V0,velar-tongue-lateral-tongue
cover,K-AH1-V-ER0,C-V1-C-V0,velar-tongue-labiodental-tongue
hall,HH-AO1-L,C-VV1-C,pharyngeal-tongue-lateral
glasses,G-L-AE1-S-AH0-Z,C-C-V1-C-V0-C,velar-lateral-tongue-alveolar-tongue-alveolar
stems,S-T-EH1-M-Z,C-C-V1-C-C,alveolar-alveolar-tongue-bilabial-alveolar
